transaction_id,transaction_qty,unit_price
4329,1,18.0
8376,1,18.0
11305,1,18.0
25862,1,18.0
26245,1,18.0
28300,1,18.0
57512,2,36.0
39147,1,18.0
40479,1,18.0
40938,1,18.0
87911,2,36.0
44808,1,18.0
45238,1,18.0
46803,1,18.0
141649,3,54.0
61637,1,18.0
67582,1,18.0
69114,1,18.0
69951,1,18.0
142259,2,36.0
71343,1,18.0
79758,1,18.0
91055,1,18.0
96567,1,18.0
195206,2,36.0
99568,1,18.0
100482,1,18.0
202887,2,36.0
8042,1,18.0
19784,2,36.0
11947,1,18.0
16653,1,18.0
24869,1,18.0
26816,1,18.0
27996,1,18.0
39647,1,18.0
41585,1,18.0
42744,1,18.0
44779,1,18.0
45723,1,18.0
47083,1,18.0
61543,1,18.0
62226,1,18.0
126476,2,36.0
64597,1,18.0
66566,1,18.0
68593,1,18.0
69953,1,18.0
70640,1,18.0
71374,1,18.0
72743,1,18.0
88882,1,18.0
89749,1,18.0
182094,2,36.0
92757,1,18.0
95290,1,18.0
95855,1,18.0
97817,1,18.0
99195,1,18.0
101493,1,18.0
113312,1,18.0
4097,1,14.75
10254,1,14.75
20931,2,29.5
12023,1,14.75
16478,1,14.75
17063,1,14.75
23711,1,14.75
25645,1,14.75
27757,1,14.75
27915,1,14.75
29610,1,14.75
82761,2,29.5
43295,1,14.75
43619,1,14.75
90241,2,29.5
46381,1,14.75
48312,1,14.75
61175,1,14.75
64354,1,14.75
66689,1,14.75
134030,2,29.5
69037,1,14.75
70509,1,14.75
176679,2,29.5
184867,2,29.5
196656,2,29.5
100041,1,14.75
200921,2,29.5
101374,1,14.75
103437,1,14.75
112162,1,14.75
4536,1,20.45
5331,1,20.45
6256,1,20.45
7604,1,20.45
8513,1,20.45
9562,1,20.45
11046,1,20.45
11793,1,20.45
17141,1,20.45
21939,1,20.45
25119,1,20.45
26915,1,20.45
27719,1,20.45
28797,1,20.45
29367,1,20.45
88079,2,40.9
46167,1,20.45
